Time(day),a(km),e,i(deg),n(deg),w(deg),f(deg),hp(km)
2914.44518495,nan,nan,     nan,     nan,     nan,     nan,nan
2924.44684548,nan,nan,     nan,     nan,     nan,     nan,nan
2945.45387287,nan,nan,     nan,     nan,     nan,     nan,nan
2948.45533117,nan,nan,     nan,     nan,     nan,     nan,nan
2959.46139928,nan,nan,     nan,     nan,     nan,     nan,nan
2962.46324823,nan,nan,     nan,     nan,     nan,     nan,nan
2965.46518213,nan,nan,     nan,     nan,     nan,     nan,nan
2973.47033302,nan,nan,     nan,     nan,     nan,     nan,nan
2978.97377787,nan,nan,     nan,     nan,     nan,     nan,nan
2980.97501931,nan,nan,     nan,     nan,     nan,     nan,nan
2984.47710438,nan,nan,     nan,     nan,     nan,     nan,nan
2987.47883162,nan,nan,     nan,     nan,     nan,     nan,nan
2995.48302100,nan,nan,     nan,     nan,     nan,     nan,nan
2997.98413369,nan,nan,     nan,     nan,     nan,     nan,nan
3003.48633911,nan,nan,     nan,     nan,     nan,     nan,nan
3006.48742421,nan,nan,     nan,     nan,     nan,     nan,nan
3009.48835197,nan,nan,     nan,     nan,     nan,     nan,nan
3016.48987805,nan,nan,     nan,     nan,     nan,     nan,nan
3018.99042312,nan,nan,     nan,     nan,     nan,     nan,nan
3025.99129850,nan,nan,     nan,     nan,     nan,     nan,nan
3029.49173117,nan,nan,     nan,     nan,     nan,     nan,nan
3031.99184750,nan,nan,     nan,     nan,     nan,     nan,nan
3034.49203936,nan,nan,     nan,     nan,     nan,     nan,nan
3071.99570007,nan,nan,     nan,     nan,     nan,     nan,nan
3076.99888449,nan,nan,     nan,     nan,     nan,     nan,nan
3100.50404348,nan,nan,     nan,     nan,     nan,     nan,nan
3109.50853365,nan,nan,     nan,     nan,     nan,     nan,nan
3111.50972455,nan,nan,     nan,     nan,     nan,     nan,nan
3119.01438480,nan,nan,     nan,     nan,     nan,     nan,nan
3131.52253902,nan,nan,     nan,     nan,     nan,     nan,nan
3139.52731886,nan,nan,     nan,     nan,     nan,     nan,nan
3143.52920756,nan,nan,     nan,     nan,     nan,     nan,nan
3192.53891012,nan,nan,     nan,     nan,     nan,     nan,nan
3254.05290004,nan,nan,     nan,     nan,     nan,     nan,nan
3274.56535073,nan,nan,     nan,     nan,     nan,     nan,nan
3279.56856462,nan,nan,     nan,     nan,     nan,     nan,nan
3324.58575792,nan,nan,     nan,     nan,     nan,     nan,nan
3404.60030479,nan,nan,     nan,     nan,     nan,     nan,nan
3443.62313243,nan,nan,     nan,     nan,     nan,     nan,nan
3464.63011281,nan,nan,     nan,     nan,     nan,     nan,nan
3464.63012282,nan,nan,     nan,     nan,     nan,     nan,nan
3471.63137311,nan,nan,     nan,     nan,     nan,     nan,nan
3473.63156244,nan,nan,     nan,     nan,     nan,     nan,nan
3475.63180275,nan,nan,     nan,     nan,     nan,     nan,nan
3478.63202350,nan,nan,     nan,     nan,     nan,     nan,nan
3483.63242310,nan,nan,     nan,     nan,     nan,     nan,nan
3487.63291090,nan,nan,     nan,     nan,     nan,     nan,nan
3491.63321080,nan,nan,     nan,     nan,     nan,     nan,nan
3494.63315885,nan,nan,     nan,     nan,     nan,     nan,nan
3502.63343874,nan,nan,     nan,     nan,     nan,     nan,nan
3504.13350028,nan,nan,     nan,     nan,     nan,     nan,nan
3513.13399477,nan,nan,     nan,     nan,     nan,     nan,nan
3514.63421365,nan,nan,     nan,     nan,     nan,     nan,nan
3517.13450783,nan,nan,     nan,     nan,     nan,     nan,nan
3519.63523979,nan,nan,     nan,     nan,     nan,     nan,nan
3523.63554255,nan,nan,     nan,     nan,     nan,     nan,nan
3525.63566080,nan,nan,     nan,     nan,     nan,     nan,nan
3528.63682256,nan,nan,     nan,     nan,     nan,     nan,nan
3533.63809476,nan,nan,     nan,     nan,     nan,     nan,nan
3537.63907180,nan,nan,     nan,     nan,     nan,     nan,nan
3539.13957057,nan,nan,     nan,     nan,     nan,     nan,nan
3542.14078555,nan,nan,     nan,     nan,     nan,     nan,nan
3576.15928826,nan,nan,     nan,     nan,     nan,     nan,nan
3578.16059956,nan,nan,     nan,     nan,     nan,     nan,nan
3580.16184888,nan,nan,     nan,     nan,     nan,     nan,nan
3584.16460547,nan,nan,     nan,     nan,     nan,     nan,nan
3587.16587863,nan,nan,     nan,     nan,     nan,     nan,nan
3588.66686377,nan,nan,     nan,     nan,     nan,     nan,nan
3591.16786990,nan,nan,     nan,     nan,     nan,     nan,nan
3592.66871629,nan,nan,     nan,     nan,     nan,     nan,nan
3594.16948447,nan,nan,     nan,     nan,     nan,     nan,nan
